"JID","knowledge","phase","feeder","visit_number"
"J1001","naive","post_knowledge","visit_number_LK",156
"J1001","naive","post_knowledge","visit_number_HK",260
"J1046","knowledgeable","post_knowledge","visit_number_LK",198
"J1046","knowledgeable","post_knowledge","visit_number_HK",482
"J1057","naive","post_knowledge","visit_number_LK",210
"J1057","naive","post_knowledge","visit_number_HK",21
"J1076","naive","post_knowledge","visit_number_LK",1
"J1076","naive","post_knowledge","visit_number_HK",0
"J1093","naive","post_knowledge","visit_number_LK",690
"J1093","naive","post_knowledge","visit_number_HK",1526
"J1096","naive","post_knowledge","visit_number_LK",149
"J1096","naive","post_knowledge","visit_number_HK",48
"J1097","naive","post_knowledge","visit_number_LK",1
"J1097","naive","post_knowledge","visit_number_HK",0
"J1154","naive","post_knowledge","visit_number_LK",45
"J1154","naive","post_knowledge","visit_number_HK",14
"J1222","naive","post_knowledge","visit_number_LK",32
"J1222","naive","post_knowledge","visit_number_HK",21
"J1266","naive","post_knowledge","visit_number_LK",0
"J1266","naive","post_knowledge","visit_number_HK",0
"J1317","naive","post_knowledge","visit_number_LK",436
"J1317","naive","post_knowledge","visit_number_HK",132
"J1318","naive","post_knowledge","visit_number_LK",0
"J1318","naive","post_knowledge","visit_number_HK",0
"J1323","naive","post_knowledge","visit_number_LK",13
"J1323","naive","post_knowledge","visit_number_HK",6
"J1345","naive","post_knowledge","visit_number_LK",36
"J1345","naive","post_knowledge","visit_number_HK",4
"J1351","naive","post_knowledge","visit_number_LK",22
"J1351","naive","post_knowledge","visit_number_HK",8
"J1366","naive","post_knowledge","visit_number_LK",0
"J1366","naive","post_knowledge","visit_number_HK",2
"J1368","naive","post_knowledge","visit_number_LK",167
"J1368","naive","post_knowledge","visit_number_HK",236
"J1392","naive","post_knowledge","visit_number_LK",51
"J1392","naive","post_knowledge","visit_number_HK",24
"J1458","naive","post_knowledge","visit_number_LK",68
"J1458","naive","post_knowledge","visit_number_HK",21
"J1463","naive","post_knowledge","visit_number_LK",260
"J1463","naive","post_knowledge","visit_number_HK",555
"J1480","knowledgeable","post_knowledge","visit_number_LK",124
"J1480","knowledgeable","post_knowledge","visit_number_HK",282
"J1529","knowledgeable","post_knowledge","visit_number_LK",170
"J1529","knowledgeable","post_knowledge","visit_number_HK",571
"J1556","knowledgeable","post_knowledge","visit_number_LK",0
"J1556","knowledgeable","post_knowledge","visit_number_HK",3
"J1618","naive","post_knowledge","visit_number_LK",16
"J1618","naive","post_knowledge","visit_number_HK",26
"J1623","naive","post_knowledge","visit_number_LK",51
"J1623","naive","post_knowledge","visit_number_HK",11
"J1627","knowledgeable","post_knowledge","visit_number_LK",58
"J1627","knowledgeable","post_knowledge","visit_number_HK",621
"J1631","knowledgeable","post_knowledge","visit_number_LK",68
"J1631","knowledgeable","post_knowledge","visit_number_HK",375
"J164","naive","post_knowledge","visit_number_LK",1
"J164","naive","post_knowledge","visit_number_HK",2
"J1735","naive","post_knowledge","visit_number_LK",69
"J1735","naive","post_knowledge","visit_number_HK",2
"J1902","naive","post_knowledge","visit_number_LK",205
"J1902","naive","post_knowledge","visit_number_HK",167
"J1916","naive","post_knowledge","visit_number_LK",327
"J1916","naive","post_knowledge","visit_number_HK",405
"J1962","naive","post_knowledge","visit_number_LK",38
"J1962","naive","post_knowledge","visit_number_HK",1
"J1964","naive","post_knowledge","visit_number_LK",9
"J1964","naive","post_knowledge","visit_number_HK",21
"J1973","naive","post_knowledge","visit_number_LK",550
"J1973","naive","post_knowledge","visit_number_HK",368
"J2039","naive","post_knowledge","visit_number_LK",214
"J2039","naive","post_knowledge","visit_number_HK",152
"J2077","naive","post_knowledge","visit_number_LK",0
"J2077","naive","post_knowledge","visit_number_HK",0
"J2079","naive","post_knowledge","visit_number_LK",0
"J2079","naive","post_knowledge","visit_number_HK",0
"J2115","naive","post_knowledge","visit_number_LK",1
"J2115","naive","post_knowledge","visit_number_HK",5
"J2124","naive","post_knowledge","visit_number_LK",116
"J2124","naive","post_knowledge","visit_number_HK",83
"J2128","knowledgeable","post_knowledge","visit_number_LK",233
"J2128","knowledgeable","post_knowledge","visit_number_HK",424
"J2149","naive","post_knowledge","visit_number_LK",25
"J2149","naive","post_knowledge","visit_number_HK",4
"J2168","naive","post_knowledge","visit_number_LK",338
"J2168","naive","post_knowledge","visit_number_HK",38
"J2196","naive","post_knowledge","visit_number_LK",182
"J2196","naive","post_knowledge","visit_number_HK",39
"J2197","naive","post_knowledge","visit_number_LK",5
"J2197","naive","post_knowledge","visit_number_HK",5
"J2375","naive","post_knowledge","visit_number_LK",221
"J2375","naive","post_knowledge","visit_number_HK",50
"J2377","naive","post_knowledge","visit_number_LK",104
"J2377","naive","post_knowledge","visit_number_HK",41
"J2392","naive","post_knowledge","visit_number_LK",292
"J2392","naive","post_knowledge","visit_number_HK",54
"J2395","naive","post_knowledge","visit_number_LK",75
"J2395","naive","post_knowledge","visit_number_HK",91
"J2396","naive","post_knowledge","visit_number_LK",9
"J2396","naive","post_knowledge","visit_number_HK",2
"J2415","naive","post_knowledge","visit_number_LK",19
"J2415","naive","post_knowledge","visit_number_HK",7
"J2488","naive","post_knowledge","visit_number_LK",0
"J2488","naive","post_knowledge","visit_number_HK",2
"J2563","naive","post_knowledge","visit_number_LK",28
"J2563","naive","post_knowledge","visit_number_HK",42
"J2572","naive","post_knowledge","visit_number_LK",3
"J2572","naive","post_knowledge","visit_number_HK",0
"J2619","naive","post_knowledge","visit_number_LK",4
"J2619","naive","post_knowledge","visit_number_HK",6
"J2621","naive","post_knowledge","visit_number_LK",121
"J2621","naive","post_knowledge","visit_number_HK",24
"J2661","naive","post_knowledge","visit_number_LK",39
"J2661","naive","post_knowledge","visit_number_HK",31
"J2680","naive","post_knowledge","visit_number_LK",2
"J2680","naive","post_knowledge","visit_number_HK",0
"J2701","naive","post_knowledge","visit_number_LK",211
"J2701","naive","post_knowledge","visit_number_HK",96
"J2728","naive","post_knowledge","visit_number_LK",0
"J2728","naive","post_knowledge","visit_number_HK",0
"J2759","naive","post_knowledge","visit_number_LK",5
"J2759","naive","post_knowledge","visit_number_HK",1
"J2783","naive","post_knowledge","visit_number_LK",0
"J2783","naive","post_knowledge","visit_number_HK",0
"J2801","naive","post_knowledge","visit_number_LK",104
"J2801","naive","post_knowledge","visit_number_HK",55
"J2941","naive","post_knowledge","visit_number_LK",664
"J2941","naive","post_knowledge","visit_number_HK",821
"J295","naive","post_knowledge","visit_number_LK",38
"J295","naive","post_knowledge","visit_number_HK",25
"J2952","naive","post_knowledge","visit_number_LK",138
"J2952","naive","post_knowledge","visit_number_HK",78
"J2961","naive","post_knowledge","visit_number_LK",340
"J2961","naive","post_knowledge","visit_number_HK",286
"J2969","naive","post_knowledge","visit_number_LK",14
"J2969","naive","post_knowledge","visit_number_HK",10
"J2986","naive","post_knowledge","visit_number_LK",49
"J2986","naive","post_knowledge","visit_number_HK",68
"J3029","naive","post_knowledge","visit_number_LK",0
"J3029","naive","post_knowledge","visit_number_HK",1
