"g_dyad_ID_post","g_edge_weights_post","ind1_ID","ind2_ID","ind1_knowledge","ind2_knowledge","knowledge_comb","knowledge_comb2","dyad_ID","g_edge_weights_pre","HKLK_no_dual_events_mean","edge_diff_abs","knowledge_comb3","knowledge_comb4","edge_diff_resid","ind1_visit_no_pre","ind2_visit_no_pre","ind1_visit_no_post","ind2_visit_no_post","new_edge","HKLK_no_dual_events_binary","knowledge_comb2_HKLK_dual_events_binary","HKLK_no_dual_events_binary_c","HKLK_no_dual_events_mean_gc","HKLK_no_dual_events_mean_gc_z","HKLK_no_dual_events_mean_z","edge_diff_resid_10","g_edge_weights_pre_z"
"J1001 J1096",0.1,"J1001","J1096","naive","naive","naive naive","naive naive","J1001 J1096",0.0158730158730159,5,0.0841269841269841,"same","naive",0.0773073887426829,70,113,54,22,"old",1,"naive naive_1",0.5,4.63368983957219,3.13799212772882,0.640495744224907,0.773073887426829,-0.471418609309992
"J1001 J1631",0.0540540540540541,"J1001","J1631","naive","knowledge","naive knowledge","knowledge naive","J1001 J1631",0.021978021978022,27,0.0320760320760321,"different","knowledge",0.0291181278279894,70,160,54,30,"old",1,"knowledge naive_1",0.5,24.0810810810811,2.67190648912169,4.46654594845132,0.291181278279894,-0.324289078528118
"J1001 J3714",0.024390243902439,"J1001","J3714","naive","naive","naive naive","naive naive","J1001 J3714",0.010752688172043,0,0.013637555730396,"same","naive",0.00357912261891035,70,233,54,121,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.0357912261891035,-0.594817570610919
"J1001 J4112",0.0344827586206897,"J1001","J4112","naive","naive","naive naive","naive naive","J1001 J4112",0.0344827586206897,0,0,"same","naive",0.00495190449312137,70,47,54,28,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.0495190449312137,-0.0229272120300715
"J1001 J4189",0.0740740740740741,"J1001","J4189","naive","naive","naive naive","naive naive","J1001 J4189",0.0112359550561798,0,0.0628381190178943,"same","naive",0.0530853739615587,70,200,54,32,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.530853739615587,-0.583170927072404
"J1001 J4731",0.025,"J1001","J4731","naive","naive","naive naive","naive naive","J1001 J4731",0.0151515151515152,0,0.0098484848484848,"same","naive",0.00257250778444409,70,182,54,103,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.0257250778444409,-0.488806644766031
"J1001 J4747",0.04,"J1001","J4747","naive","naive","naive naive","naive naive","J1001 J4747",0.0144927536231884,5,0.0255072463768116,"same","naive",0.0178145729964868,70,247,54,345,"old",1,"naive naive_1",0.5,4.63368983957219,3.13799212772882,0.640495744224907,0.178145729964868,-0.504682677138938
"J1001 J5519",0.0169491525423729,"J1001","J5519","naive","naive","naive naive","naive naive","J1001 J5519",0.0181818181818182,0,-0.0012326656394453,"same","naive",-0.00659183964857954,70,103,54,154,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0659183964857954,-0.415776895850665
"J1001 J664",0.0186335403726708,"J1001","J664","naive","knowledge","naive knowledge","knowledge naive","J1001 J664",0.00746268656716418,0,0.0111708538055066,"different","knowledge",-0.000968653397849087,70,512,54,366,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,-0.00968653397849087,-0.674106007685619
"J1001 J990",0.0689655172413793,"J1001","J990","naive","naive","naive naive","naive naive","J1001 J990",0.0357142857142857,0,0.0332512315270936,"same","naive",0.0389821323356326,70,19,54,31,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.389821323356326,0.00675236573109809
