"id","trial","time","t_end","n_trial"
"J1001","tada1",87.9833333333333,86.9833,167
"J1001","tada2",120.9,119.9,167
"J1001","tada3",107.9,106.9,167
"J1001","tada4",113.15,112.15,167
"J1001","tada5",122.15,121.15,167
"J1001","tada6",132.2,131.2,167
"J1001","tada7",121.1,120.1,167
"J1001","tada8",111.65,110.65,167
"J1001","tada9",121.866666666667,120.866667,167
"J1001","tada10",131.5,130.5,167
"J1001","tada11",51.8666666666667,50.866667,167
"J1001","tada12",107.75,106.75,167
"J1001","tada13",111.65,110.65,167
"J1001","tada14",36.8,35.8,167
"J1057","tada1",87.9833333333333,86.9833,167
"J1057","tada2",120.9,119.9,167
"J1057","tada3",107.9,106.9,167
"J1057","tada4",113.15,112.15,167
"J1057","tada5",122.15,121.15,167
"J1057","tada6",132.2,131.2,167
"J1057","tada7",121.1,120.1,167
"J1057","tada8",111.65,110.65,167
"J1057","tada9",121.866666666667,120.866667,167
"J1057","tada10",131.5,130.5,167
"J1057","tada11",51.8666666666667,50.866667,167
"J1057","tada12",107.75,106.75,167
"J1057","tada13",111.65,110.65,167
"J1057","tada14",36.8,35.8,167
"J1075","tada1",87.9833333333333,86.9833,167
"J1075","tada2",120.9,119.9,167
"J1075","tada3",107.9,106.9,167
"J1075","tada4",113.15,112.15,167
"J1075","tada5",122.15,121.15,167
"J1075","tada6",132.2,131.2,167
"J1075","tada7",121.1,120.1,167
"J1075","tada8",111.65,110.65,167
"J1075","tada9",121.866666666667,120.866667,167
"J1075","tada10",131.5,130.5,167
"J1075","tada11",51.8666666666667,50.866667,167
"J1075","tada12",107.75,106.75,167
"J1075","tada13",111.65,110.65,167
"J1075","tada14",36.8,35.8,167
"J1093","tada1",87.9833333333333,86.9833,167
"J1093","tada2",120.9,119.9,167
"J1093","tada3",107.9,106.9,167
"J1093","tada4",113.15,112.15,167
"J1093","tada5",122.15,121.15,167
"J1093","tada6",132.2,131.2,167
"J1093","tada7",121.1,120.1,167
"J1093","tada8",111.65,110.65,167
"J1093","tada9",29.3722222222222,120.866667,167
"J1093","tada10",131.5,130.5,167
"J1093","tada11",51.8666666666667,50.866667,167
"J1093","tada12",107.75,106.75,167
"J1093","tada13",111.65,110.65,167
"J1093","tada14",36.8,35.8,167
"J1154","tada1",87.9833333333333,86.9833,167
"J1154","tada2",120.9,119.9,167
"J1154","tada3",107.9,106.9,167
"J1154","tada4",113.15,112.15,167
"J1154","tada5",122.15,121.15,167
"J1154","tada6",132.2,131.2,167
"J1154","tada7",121.1,120.1,167
"J1154","tada8",111.65,110.65,167
"J1154","tada9",121.866666666667,120.866667,167
"J1154","tada10",131.5,130.5,167
"J1154","tada11",51.8666666666667,50.866667,167
"J1154","tada12",107.75,106.75,167
"J1154","tada13",111.65,110.65,167
"J1154","tada14",24.8572222222222,35.8,167
"J1182","tada1",87.9833333333333,86.9833,167
"J1182","tada2",120.9,119.9,167
"J1182","tada3",107.9,106.9,167
"J1182","tada4",113.15,112.15,167
"J1182","tada5",122.15,121.15,167
"J1182","tada6",132.2,131.2,167
"J1182","tada7",121.1,120.1,167
"J1182","tada8",111.65,110.65,167
"J1182","tada9",121.866666666667,120.866667,167
"J1182","tada10",131.5,130.5,167
"J1182","tada11",51.8666666666667,50.866667,167
"J1182","tada12",107.75,106.75,167
"J1182","tada13",111.65,110.65,167
"J1182","tada14",36.8,35.8,167
"J1222","tada1",87.9833333333333,86.9833,167
"J1222","tada2",120.9,119.9,167
"J1222","tada3",107.9,106.9,167
"J1222","tada4",113.15,112.15,167
"J1222","tada5",122.15,121.15,167
"J1222","tada6",132.2,131.2,167
"J1222","tada7",121.1,120.1,167
"J1222","tada8",111.65,110.65,167
"J1222","tada9",121.866666666667,120.866667,167
"J1222","tada10",131.5,130.5,167
"J1222","tada11",51.8666666666667,50.866667,167
"J1222","tada12",107.75,106.75,167
"J1222","tada13",111.65,110.65,167
"J1222","tada14",36.8,35.8,167
"J1318","tada1",87.9833333333333,86.9833,167
"J1318","tada2",2.52333333333333,119.9,167
"J1318","tada3",107.9,106.9,167
"J1318","tada4",0.48,112.15,167
"J1318","tada5",122.15,121.15,167
"J1318","tada6",132.2,131.2,167
"J1318","tada7",121.1,120.1,167
"J1318","tada8",111.65,110.65,167
"J1318","tada9",121.866666666667,120.866667,167
"J1318","tada10",131.5,130.5,167
"J1318","tada11",51.8666666666667,50.866667,167
"J1318","tada12",107.75,106.75,167
"J1318","tada13",111.65,110.65,167
"J1318","tada14",36.8,35.8,167
"J1323","tada1",87.9833333333333,86.9833,167
"J1323","tada2",120.9,119.9,167
"J1323","tada3",107.9,106.9,167
"J1323","tada4",113.15,112.15,167
"J1323","tada5",122.15,121.15,167
"J1323","tada6",132.2,131.2,167
"J1323","tada7",121.1,120.1,167
"J1323","tada8",111.65,110.65,167
"J1323","tada9",121.866666666667,120.866667,167
"J1323","tada10",131.5,130.5,167
"J1323","tada11",51.8666666666667,50.866667,167
"J1323","tada12",107.75,106.75,167
"J1323","tada13",111.65,110.65,167
"J1323","tada14",36.8,35.8,167
"J1345","tada1",87.9833333333333,86.9833,167
"J1345","tada2",120.9,119.9,167
"J1345","tada3",107.9,106.9,167
"J1345","tada4",113.15,112.15,167
"J1345","tada5",122.15,121.15,167
"J1345","tada6",132.2,131.2,167
"J1345","tada7",121.1,120.1,167
"J1345","tada8",111.65,110.65,167
"J1345","tada9",121.866666666667,120.866667,167
"J1345","tada10",131.5,130.5,167
"J1345","tada11",51.8666666666667,50.866667,167
"J1345","tada12",107.75,106.75,167
"J1345","tada13",111.65,110.65,167
"J1345","tada14",24.7552777777778,35.8,167
"J1351","tada1",87.9833333333333,86.9833,167
"J1351","tada2",120.9,119.9,167
"J1351","tada3",107.9,106.9,167
"J1351","tada4",113.15,112.15,167
"J1351","tada5",122.15,121.15,167
"J1351","tada6",132.2,131.2,167
"J1351","tada7",121.1,120.1,167
"J1351","tada8",111.65,110.65,167
"J1351","tada9",121.866666666667,120.866667,167
"J1351","tada10",131.5,130.5,167
"J1351","tada11",51.8666666666667,50.866667,167
"J1351","tada12",107.75,106.75,167
"J1351","tada13",111.65,110.65,167
"J1351","tada14",36.8,35.8,167
"J1388","tada1",87.9833333333333,86.9833,167
"J1388","tada2",120.9,119.9,167
"J1388","tada3",107.9,106.9,167
"J1388","tada4",113.15,112.15,167
"J1388","tada5",122.15,121.15,167
"J1388","tada6",132.2,131.2,167
"J1388","tada7",121.1,120.1,167
"J1388","tada8",111.65,110.65,167
"J1388","tada9",121.866666666667,120.866667,167
"J1388","tada10",131.5,130.5,167
"J1388","tada11",51.8666666666667,50.866667,167
"J1388","tada12",107.75,106.75,167
"J1388","tada13",111.65,110.65,167
"J1388","tada14",36.8,35.8,167
"J1392","tada1",87.9833333333333,86.9833,167
"J1392","tada2",120.9,119.9,167
"J1392","tada3",107.9,106.9,167
"J1392","tada4",113.15,112.15,167
"J1392","tada5",122.15,121.15,167
"J1392","tada6",132.2,131.2,167
"J1392","tada7",121.1,120.1,167
"J1392","tada8",80.9211111111111,110.65,167
"J1392","tada9",121.866666666667,120.866667,167
"J1392","tada10",131.5,130.5,167
"J1392","tada11",51.8666666666667,50.866667,167
"J1392","tada12",107.75,106.75,167
"J1392","tada13",111.65,110.65,167
"J1392","tada14",36.8,35.8,167
"J1458","tada1",87.9833333333333,86.9833,167
"J1458","tada2",120.9,119.9,167
"J1458","tada3",107.9,106.9,167
"J1458","tada4",113.15,112.15,167
"J1458","tada5",122.15,121.15,167
"J1458","tada6",132.2,131.2,167
"J1458","tada7",121.1,120.1,167
"J1458","tada8",111.65,110.65,167
"J1458","tada9",121.866666666667,120.866667,167
"J1458","tada10",131.5,130.5,167
"J1458","tada11",51.8666666666667,50.866667,167
"J1458","tada12",107.75,106.75,167
"J1458","tada13",111.65,110.65,167
"J1458","tada14",36.8,35.8,167
"J1480","tada1",87.9833333333333,86.9833,167
"J1480","tada2",120.9,119.9,167
"J1480","tada3",107.9,106.9,167
"J1480","tada4",113.15,112.15,167
"J1480","tada5",122.15,121.15,167
