"JID","start","end","tag","event","feeder_patch","interval","visit_duration","site","position","day","study_day","time","hour","time_tada","time_tada_total","OA","am_number","patch_deployed","patch_removed","patch_last_read","patch_interval","patch_active","interval_tada","JID_patch","degree_z","strength_z","eigenvector_z","betweenness_z","closeness_z","social_diff_z","age_z","sex","body_cond_z","tarsus_z","visit_number_z","feeder_number_binary","inter_sites","time_tada_hr","OA_log","transitivity_z","sex_cat","visit_number"
"J5121",2024-05-22 07:50:06,2024-05-22 07:50:20,"01148AA2E5",468,"YYP1",2024-05-22 07:50:06 BST--2024-05-22 07:50:20 BST,14.6579999923706s,"YY","YYP1",143,0,28206.1340000629,7,10266,10266,1,126,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-22 07:50:06 UTC,"J5121_YYP1",0.0623280990859271,0.388733321052088,-0.403330335756419,-0.274084398755763,-0.141457536366783,-0.625057975903559,-1.12943611145949,0.5,-1.42492709357943,-0.36768461367576,-0.296289029642172,2,"2",2.85166666666667,0,0.659160818288574,"unsexed",23
"J3753",2024-05-22 08:00:08,2024-05-22 08:00:08,"01148B2E81",550,"YYP1",2024-05-22 08:00:08 BST--2024-05-22 08:00:08 BST,0s,"YY","YYP1",143,0,28808.3299999237,8,10868,10868,2,60,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-22 08:00:08 UTC,"J3753_YYP1",-0.643352751581858,-0.423693737720646,-0.728890744754706,-0.114158038171102,0.735951149841987,0.555889742359925,-0.27338846873452,1,-0.0281640522970164,0.0210210695626407,-0.493765778757632,2,"1",3.01888888888889,0.693147180559945,1.0858046182882,"male",7
"J4962",2024-05-22 08:17:20,2024-05-22 08:17:46,"01148A5BA3",594,"YYP1",2024-05-22 08:17:20 BST--2024-05-22 08:17:46 BST,26.2109999656677s,"YY","YYP1",143,0,29840.1619999409,8,11900,11900,3,107,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-22 08:17:20 UTC,"J4962_YYP1",-0.937386439360102,-1.0843016844055,-0.738339322486701,-0.309190185225567,0.624781151319673,1.78563734849929,-0.27338846873452,0,-1.46237383517706,0.318266592039065,-0.56781955967593,1,"1",3.30555555555556,1.09861228866811,1.0858046182882,"female",1
"J5012",2024-05-22 12:35:35,2024-05-22 12:36:58,"01148B0159",1157,"YYP1",2024-05-22 12:35:35 BST--2024-05-22 12:36:58 BST,83.5439999103546s (~1.39 minutes),"YY","YYP1",143,0,45335.4200000763,12,27395,27395,4,114,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-22 12:35:35 UTC,"J5012_YYP1",-0.172898851136668,-0.134037780027955,-0.343694502216984,-0.258481826991406,0.880797379511152,-0.445648077342222,-0.844086897217831,1,1.35515261693847,0.935622677182403,-0.33331592010132,2,"2",7.60972222222222,1.38629436111989,0.488503298288725,"male",20
"J4304",2024-05-23 08:55:20,2024-05-23 08:55:45,"01148B0AF9",2591,"YYP1",2024-05-23 08:55:20 BST--2024-05-23 08:55:45 BST,25.4559998512268s,"YY","YYP1",144,1,32120.2690000534,8,100580,100580,5,81,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-23 08:55:20 UTC,"J4304_YYP1",0.650395474642415,0.376884454133876,0.130763556240176,0.453385509757392,1.15270933594653,-0.4989791924083,-0.558737682976176,1,1.67466731974558,0.112481230324616,0.394879592261941,2,"2",27.9388888888889,1.6094379124341,0.943590018288322,"male",79
"J4776",2024-05-23 13:51:10,2024-05-23 13:51:10,"01148ACC7E",3270,"YYP1",2024-05-23 13:51:10 BST--2024-05-23 13:51:10 BST,0s,"YY","YYP1",144,1,49870.6510000229,13,118330,118330,6,101,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-23 13:51:10 UTC,"J4776_YYP1",-0.819772964248804,-0.943089053015728,-0.708778940371568,-0.309190185225567,0.635209950809823,0.821701237165776,-0.844086897217831,1,-0.968811010992544,-0.779255337104653,-0.543134966036497,1,"1",32.8694444444444,1.79175946922805,1.0858046182882,"male",3
"J2961",2024-05-24 10:48:28,2024-05-24 10:48:34,"01148A491C",4318,"YYP1",2024-05-24 10:48:28 BST--2024-05-24 10:48:34 BST,5.69000005722046s,"YY","YYP1",145,2,38908.5039999485,10,193768,193768,7,44,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-24 10:48:28 UTC,"J2961_YYP1",1.29726958775455,1.04607984012236,-0.671001842390567,5.94744109228167,1.86707385115777,-0.640318963579908,0.868008388232102,1,0.112351512176021,2.29380606449775,8.49142630599583,2,"1",53.8244444444444,1.94591014905531,-1.15637264447905,"male",735
"J4151",2024-05-24 12:25:10,2024-05-24 12:25:10,"01130E02C1",4399,"YYP1",2024-05-24 12:25:10 BST--2024-05-24 12:25:10 BST,0s,"YY","YYP1",145,2,44710.0759999752,12,199570,199570,8,75,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-24 12:25:10 UTC,"J4151_YYP1",0.0623280990859271,0.619106966061867,-0.177726731126143,-0.309190185225567,-0.438443040033537,-0.440562571684779,-0.558737682976176,0,0.497133471814509,-0.802120377295146,0.111006765408466,2,"2",55.4361111111111,2.07944154167984,-0.706099341710217,"female",56
"J5089",2024-05-25 12:05:26,2024-05-25 12:05:26,"01148B4655",7033,"YYP1",2024-05-25 12:05:26 BST--2024-05-25 12:05:26 BST,0s,"YY","YYP1",146,3,43526.9560000896,12,284786,284786,9,122,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-25 12:05:26 UTC,"J5089_YYP1",0.532781999531117,0.518115679990625,-0.675887413760621,-0.307239863755022,0.659027203019394,-0.834402294075905,-0.558737682976176,0,-0.479698964486924,-0.367684613675755,1.55505549331527,2,"1",79.1072222222222,2.19722457733622,-0.336341381710544,"female",173
"J2941",2024-05-25 18:07:28,2024-05-25 18:07:46,"01148AE1C2",9235,"YYP1",2024-05-25 18:07:28 BST--2024-05-25 18:07:46 BST,18.6159999370575s,"YY","YYP1",146,3,65248.0499999523,18,306508,306508,10,41,2024-05-22 04:59:00,2024-05-27 17:14:00,2024-05-25 19:58:00,2024-05-22 04:59:00 UTC--2024-05-25 19:58:00 UTC,313140s (~3.62 days),2024-05-22 04:59:00 UTC--2024-05-25 18:07:28 UTC,"J2941_YYP1",0.768008949753712,0.544421655548028,-0.673458882059664,0.866853661512858,1.12384182490768,-0.880493859241697,0.868008388232102,1,0.920050490348887,1.333474376497,2.60415072299116,2,"1",85.1411111111111,2.30258509299405,-1.50250110170951,"male",258
